series,year,value,analysis_captured_at
epoch_training_compute_upper_tail,2018,2.85e+20,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2019,1.2184000000000017e+22,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2020,1.7948480000000004e+22,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2021,8.2152e+22,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2022,4.094124800000004e+23,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2023,9.572160000000033e+23,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2024,3.112669032000008e+24,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2025,6.729600000000001e+24,2026-05-16T11:27:28+00:00
epoch_training_compute_upper_tail,2026,1.7800800000000006e+25,2026-05-16T11:27:28+00:00
openrouter_context_window_upper_tail,2023,72192.5,2026-05-16T11:27:28+00:00
openrouter_context_window_upper_tail,2024,131072.0,2026-05-16T11:27:28+00:00
openrouter_context_window_upper_tail,2025,400000.0,2026-05-16T11:27:28+00:00
openrouter_context_window_upper_tail,2026,1048576.0,2026-05-16T11:27:28+00:00
openrouter_output_price_lower_quintile,2023,0.558,2026-05-16T11:27:28+00:00
openrouter_output_price_lower_quintile,2024,0.244,2026-05-16T11:27:28+00:00
openrouter_output_price_lower_quintile,2025,0.3,2026-05-16T11:27:28+00:00
openrouter_output_price_lower_quintile,2026,0.7000000000000002,2026-05-16T11:27:28+00:00
