scenario,model_family,heuristic_index,rank,analysis_captured_at
baseline,Qwen,79.16,1,2026-05-16T12:05:27+00:00
baseline,GPT,78.54,2,2026-05-16T12:05:27+00:00
baseline,Mistral,56.7,3,2026-05-16T12:05:27+00:00
baseline,Claude,55.27,4,2026-05-16T12:05:27+00:00
baseline,Llama,55.09,5,2026-05-16T12:05:27+00:00
baseline,DeepSeek,55.01,6,2026-05-16T12:05:27+00:00
baseline,Gemini,52.32,7,2026-05-16T12:05:27+00:00
baseline,Gemma,47.4,8,2026-05-16T12:05:27+00:00
baseline,Phi,36.59,9,2026-05-16T12:05:27+00:00
baseline,Grok,28.67,10,2026-05-16T12:05:27+00:00
baseline,Command,23.6,11,2026-05-16T12:05:27+00:00
baseline,Cohere,0.0,12,2026-05-16T12:05:27+00:00
equal_weight,Qwen,82.42,1,2026-05-16T12:05:27+00:00
equal_weight,GPT,77.52,2,2026-05-16T12:05:27+00:00
equal_weight,Mistral,63.94,3,2026-05-16T12:05:27+00:00
equal_weight,Llama,62.98,4,2026-05-16T12:05:27+00:00
equal_weight,DeepSeek,62.83,5,2026-05-16T12:05:27+00:00
equal_weight,Gemma,55.06,6,2026-05-16T12:05:27+00:00
equal_weight,Claude,51.92,7,2026-05-16T12:05:27+00:00
equal_weight,Gemini,47.7,8,2026-05-16T12:05:27+00:00
equal_weight,Phi,45.51,9,2026-05-16T12:05:27+00:00
equal_weight,Command,30.51,10,2026-05-16T12:05:27+00:00
equal_weight,Grok,23.36,11,2026-05-16T12:05:27+00:00
equal_weight,Cohere,0.0,12,2026-05-16T12:05:27+00:00
no_ecosystem,Qwen,78.48,1,2026-05-16T12:05:27+00:00
no_ecosystem,GPT,76.84,2,2026-05-16T12:05:27+00:00
no_ecosystem,Gemini,56.15,3,2026-05-16T12:05:27+00:00
no_ecosystem,Claude,54.95,4,2026-05-16T12:05:27+00:00
no_ecosystem,Mistral,53.37,5,2026-05-16T12:05:27+00:00
no_ecosystem,DeepSeek,49.89,6,2026-05-16T12:05:27+00:00
no_ecosystem,Llama,49.43,7,2026-05-16T12:05:27+00:00
no_ecosystem,Gemma,43.19,8,2026-05-16T12:05:27+00:00
no_ecosystem,Phi,33.58,9,2026-05-16T12:05:27+00:00
no_ecosystem,Grok,29.35,10,2026-05-16T12:05:27+00:00
no_ecosystem,Command,28.0,11,2026-05-16T12:05:27+00:00
no_ecosystem,Cohere,0.0,12,2026-05-16T12:05:27+00:00
no_price,Qwen,77.26,1,2026-05-16T12:05:27+00:00
no_price,GPT,76.89,2,2026-05-16T12:05:27+00:00
no_price,Claude,57.66,3,2026-05-16T12:05:27+00:00
no_price,Mistral,51.34,4,2026-05-16T12:05:27+00:00
no_price,DeepSeek,51.14,5,2026-05-16T12:05:27+00:00
no_price,Llama,49.46,6,2026-05-16T12:05:27+00:00
no_price,Gemini,48.81,7,2026-05-16T12:05:27+00:00
no_price,Gemma,41.36,8,2026-05-16T12:05:27+00:00
no_price,Grok,32.21,9,2026-05-16T12:05:27+00:00
no_price,Phi,29.75,10,2026-05-16T12:05:27+00:00
no_price,Command,15.32,11,2026-05-16T12:05:27+00:00
no_price,Cohere,0.0,12,2026-05-16T12:05:27+00:00
