model_family,vendor,api_model_count,price_coverage,release_date_coverage,access_class_coverage,context_window_coverage,direct_benchmark_match_count,family_proxy_benchmark_count,labor_signal_coverage,source_gap_count,coverage_score,analysis_captured_at
Claude,Anthropic,16,1.0,1.0,1.0,1.0,48,30,1.0,0,100.0,2026-05-16T17:13:09+00:00
Gemini,Google,18,1.0,1.0,1.0,1.0,24,32,1.0,0,100.0,2026-05-16T17:13:09+00:00
Phi,Microsoft,2,1.0,1.0,1.0,1.0,6,8,1.0,0,100.0,2026-05-16T17:13:09+00:00
Grok,xAI,3,1.0,1.0,1.0,1.0,3,24,1.0,0,100.0,2026-05-16T17:13:09+00:00
GPT,OpenAI,67,0.9701,1.0,1.0,1.0,120,61,1.0,0,99.5,2026-05-16T17:13:09+00:00
Mistral,Mistral,25,0.96,1.0,1.0,1.0,56,23,1.0,0,99.33,2026-05-16T17:13:09+00:00
Qwen,Alibaba,48,0.9583,1.0,1.0,1.0,83,52,1.0,0,99.3,2026-05-16T17:13:09+00:00
DeepSeek,DeepSeek,15,0.9333,1.0,1.0,1.0,25,20,1.0,0,98.89,2026-05-16T17:13:09+00:00
Llama,Meta,26,0.8846,1.0,1.0,1.0,81,25,1.0,0,98.08,2026-05-16T17:13:09+00:00
Gemma,Google,9,0.7778,1.0,1.0,1.0,15,14,1.0,0,96.3,2026-05-16T17:13:09+00:00
Command,Command,0,0.0,0.0,0.0,0.0,0,0,1.0,6,0.0,2026-05-16T17:13:09+00:00
