draw,model_family,bootstrap_frontier_momentum_heuristic_index,bootstrap_rank,method,analysis_captured_at
0,Qwen,79.14,1,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,GPT,72.62,2,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Mistral,58.82,3,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Claude,56.01,6,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Llama,56.63,5,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,DeepSeek,57.87,4,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Gemini,47.71,8,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Gemma,49.53,7,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Phi,38.45,9,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Grok,32.2,10,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Command,26.01,11,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
0,Cohere,0.03,12,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Qwen,76.64,2,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,GPT,78.62,1,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Mistral,54.7,4,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Claude,54.31,6,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Llama,53.49,7,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,DeepSeek,54.37,5,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Gemini,56.48,3,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Gemma,47.48,8,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Phi,32.71,9,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Grok,29.58,10,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Command,17.43,12,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
1,Cohere,25.34,11,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Qwen,78.15,1,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,GPT,77.87,2,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Mistral,56.11,6,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Claude,57.04,5,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Llama,58.13,4,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,DeepSeek,58.13,3,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Gemini,49.0,7,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Gemma,48.92,8,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Phi,39.19,9,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Grok,26.48,10,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Command,20.85,11,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
2,Cohere,3.55,12,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Qwen,79.81,1,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,GPT,78.71,2,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Mistral,58.89,3,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Claude,54.52,7,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Llama,57.31,4,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,DeepSeek,56.09,6,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Gemini,56.75,5,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Gemma,50.9,8,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Phi,38.66,9,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Grok,25.52,11,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
3,Command,28.12,10,Deterministic component bootstrap with evidence-scaled noise and Dirichlet component weights; not a calibrated probability model.,2026-05-16T12:05:27+00:00
