occ_code,title,observed_exposure,soc_base,median_salary,job_forecast,chance_auto,job_zone,wage_job_name,job_family,bright_outlook,green_job,title_key,bls_employment,job_family_key,bls_major_group_employment,task_count,mean_task_penetration,mean_aei_task_pct,directive_share,feedback_loop_share,task_iteration_share,validation_share,learning_share,filtered_share,language_task_share,code_task_share,analysis_task_share,visual_task_share,agentic_task_share,physical_bottleneck,human_trust_bottleneck,regulated_bottleneck,example_tasks,capability_exposure_index,substitution_pressure_index,augmentation_index,human_bottleneck_index,near_term_disruption_index,full_job_automation_feasibility_index,augmentation_dominance_ratio,dominant_outcome,scenario_2y_task_share_base,scenario_5y_task_share_base,scenario_10y_task_share_base,risk_label,analysis_captured_at
43-9021,Data Entry Keyers,0.6707,43-9021,32170.0,14800.0,99.0,2.0,Data Entry Keyers,Office and Administrative Support,False,False,data entry keyers,18533450.0,office and administrative support,18533450.0,9.0,0.14285714285714285,0.007079169435360167,0.4211017740429505,0.0,0.0,0.0,0.0,0.5788982259570495,0.1763668430335097,0.0,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners.; Compile, sort and verify the accuracy of data before it is entered.; Compare data with source documents, or re-enter data in verification format to detect errors.",40.5,68.88,51.54,0.0,60.16,37.72,0.748,replacement_candidate,0.224,0.435,0.685,very_high,2026-05-16T12:05:27+00:00
13-1161,Market Research Analysts and Marketing Specialists,0.6483,13-1161,63120.0,90700.0,61.0,4.0,Market Research Analysts and Marketing Specialists,Business and Financial Operations,True,False,market research analysts and marketing specialists,10087830.0,business and financial operations,10087830.0,13.0,0.5744153846153845,0.027452411043504286,0.3609915747124543,0.024671834093228602,0.293232586330371,0.015584374439367738,0.19826186013128416,0.107257770293294,0.04884004884004884,0.027472527472527472,0.21978021978021978,0.08241758241758242,0.054945054945054944,0.0,0.0,0.0,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text.; Seek and provide information to help companies determine their position in the marketplace.; Gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",46.04,56.36,67.43,0.0,59.55,38.97,1.196,replacement_candidate,0.239,0.455,0.707,high,2026-05-16T12:05:27+00:00
31-9094,Medical Transcriptionists,0.6365,31-9094,34770.0,7700.0,89.0,3.0,Medical Transcriptionists,Healthcare Support,False,False,medical transcriptionists,7063530.0,healthcare support,7063530.0,15.0,0.40672857142857144,0.01826251992373602,0.41228498347857107,0.0,0.18722017419364276,0.0238095238095238,0.11163306786129086,0.26505225065697147,0.23280423280423282,0.02380952380952381,0.04761904761904762,0.0,0.04761904761904762,0.0,0.14814814814814817,0.2380952380952381,"Take dictation using shorthand, a stenotype machine, or headsets and transcribing machines.; Return dictated reports in printed or electronic form for physician's review, signature, and corrections and for inclusion in patients' medical records.; Review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.",42.75,60.44,60.15,9.95,58.94,28.27,0.995,mixed_redesign,0.229,0.44,0.687,high,2026-05-16T12:05:27+00:00
27-3042,Technical Writers,0.4747,27-3042,71850.0,6100.0,89.0,4.0,Technical Writers,"Arts, Design, Entertainment, Sports, and Media",True,False,technical writers,2106490.0,arts design entertainment sports and media,2106490.0,15.0,0.3552666666666667,0.19799959175341905,0.37905172108489316,0.007149776200587156,0.3252252761106802,0.0535889534902632,0.16161484168182844,0.07336943143174775,0.06349206349206349,0.0,0.02380952380952381,0.09523809523809525,0.09523809523809525,0.0,0.0,0.0,"Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology.; Maintain records and files of work and revisions.; Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",33.92,55.78,59.26,0.0,58.6,36.26,1.062,replacement_candidate,0.22,0.421,0.656,high,2026-05-16T12:05:27+00:00
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6279,41-4012,58510.0,151100.0,85.0,4.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related,True,False,sales representatives wholesale and manufacturing except technical and scientific products,13380660.0,sales and related,13380660.0,20.0,0.4544052631578947,0.0159118447968104,0.17460152152328873,0.0059855233853006624,0.100900664027056,0.0020879732739420877,0.13749652004454344,0.578927797745869,0.06349206349206349,0.017857142857142856,0.0,0.017857142857142856,0.10714285714285714,0.02857142857142857,0.031746031746031744,0.0,"Contact regular and prospective customers to demonstrate products, explain product features, and solicit orders.; Recommend products to customers, based on customers' needs and interests.; Answer customers' questions about products, prices, availability, product uses, and credit terms.",42.17,55.94,56.77,2.4,54.97,34.77,1.015,mixed_redesign,0.214,0.412,0.643,high,2026-05-16T12:05:27+00:00
13-2051,Financial and Investment Analysts,0.5716,13-2051,85660.0,30900.0,23.0,4.0,Financial Analysts,Business and Financial Operations,False,True,financial and investment analysts,10087830.0,business and financial operations,10087830.0,18.0,0.6049454545454546,0.02918528748811084,0.28745593930699886,0.026692772384212873,0.20349029933211815,0.0038180610889774124,0.4111407601378979,0.06740216774979466,0.05291005291005291,0.01984126984126984,0.369047619047619,0.0,0.11904761904761904,0.047619047619047616,0.0,0.0,"Draw charts and graphs, using computer spreadsheets, to illustrate technical reports.; Inform investment decisions by analyzing financial information to forecast business, industry, or economic conditions.; Monitor developments in the fields of industrial technology, business, finance, and economic theory.",42.77,40.35,66.37,2.14,53.75,27.24,1.645,augmentation_first,0.211,0.396,0.611,high,2026-05-16T12:05:27+00:00
43-9111,Statistical Assistants,0.5099,43-9111,48330.0,1800.0,66.0,4.0,Statistical Assistants; Bioinformatics Technicians,Office and Administrative Support,True,False,statistical assistants,18533450.0,office and administrative support,18533450.0,33.0,0.42859032258064517,0.1852672205501484,0.2424805001391332,0.09856566495897073,0.11533277279998407,0.03211115243663367,0.26748731931753744,0.2440225903477407,0.05772005772005772,0.23376623376623376,0.16233766233766236,0.010822510822510822,0.021645021645021644,0.017316017316017316,0.0,0.0,"Compute and analyze data, using statistical formulas and computers or calculators.; Check source data to verify completeness and accuracy.; Enter data into computers for use in analyses or reports.",37.76,47.71,59.62,0.78,53.55,31.6,1.25,augmentation_first,0.208,0.395,0.613,high,2026-05-16T12:05:27+00:00
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.4046,43-4161,40390.0,13800.0,90.0,3.0,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support,False,False,human resources assistants except payroll and timekeeping,18533450.0,office and administrative support,18533450.0,18.0,0.3244222222222222,0.014755508071556038,0.278461751514346,0.0,0.26130894886204004,0.0,0.16998234817041172,0.2902469514532022,0.08818342151675485,0.03968253968253968,0.03968253968253968,0.0,0.05952380952380952,0.0,0.0,0.0,"Process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.; Explain company personnel policies, benefits, and procedures to employees or job applicants.; Record data for each employee, including such information as addresses, weekly earnings, absences, amount of sales or production, supervisory reports on performance, and dates of and reasons for terminations.",28.07,50.06,52.03,0.0,51.76,30.44,1.039,mixed_redesign,0.195,0.373,0.582,high,2026-05-16T12:05:27+00:00
25-1022,"Mathematical Science Teachers, Postsecondary",0.4305,25-1022,73230.0,5300.0,-1.0,5.0,"Mathematical Science Teachers, Postsecondary","Education, Training, and Library",False,False,mathematical science teachers postsecondary,,education training and library,,22.0,0.40203684210526314,0.023911911999775038,0.2624710494604916,0.0032503208415691444,0.1993252230635474,0.02758837396428381,0.19387874521539775,0.3134862874547102,0.01443001443001443,0.0,0.0974025974025974,0.0,0.06493506493506494,0.0,0.05772005772005772,0.0,"Compile, administer, and grade examinations, or assign this work to others.; Prepare and deliver lectures to undergraduate or graduate students on topics such as linear algebra, differential equations, and discrete mathematics.; Evaluate and grade students' class work, assignments, and papers.",30.35,43.32,53.09,2.02,50.86,26.39,1.226,augmentation_first,0.186,0.354,0.551,high,2026-05-16T12:05:27+00:00
19-4061,Social Science Research Assistants,0.4393,19-4061,46640.0,5300.0,65.0,4.0,Social Science Research Assistants; City and Regional Planning Aides,"Life, Physical, and Social Science",True,False,social science research assistants,1389430.0,life physical and social science,1389430.0,35.0,0.3514714285714286,0.02755072187392282,0.2646820881609672,0.04093381360750635,0.1957880081231177,0.019543245691021865,0.22392152508646945,0.2551313193309173,0.07256235827664399,0.11224489795918369,0.19387755102040816,0.020408163265306124,0.11224489795918369,0.008163265306122448,0.009070294784580499,0.0,"Prepare, manipulate, and manage extensive databases.; Provide assistance with the preparation of project-related reports, manuscripts, and presentations.; Obtain informed consent of research subjects or their guardians.",31.82,44.68,55.18,0.68,50.61,27.3,1.235,augmentation_first,0.193,0.367,0.57,high,2026-05-16T12:05:27+00:00
