soc_major,language_task_share,code_task_share,analysis_task_share,visual_task_share,agentic_task_share,physical_bottleneck,human_trust_bottleneck,regulated_bottleneck,occupation_count,analysis_captured_at
11,0.031544565861054294,0.043207059127089845,0.06220030013415345,0.012150258042924252,0.12001096962034019,0.00983269665445132,0.023519313801788035,0.02319983609458099,35,2026-05-16T11:27:28+00:00
13,0.06533619334365408,0.034706552718584076,0.13138302550128014,0.01569603705192025,0.10069056840729722,0.01441770347789181,0.013634521515681433,0.021262943985670937,29,2026-05-16T11:27:28+00:00
15,0.00900035338810849,0.09428353321848221,0.11244505919250816,0.023374000574255677,0.013286564625850341,0.00042517006802721087,0.0007086167800453515,0.003226737123420797,21,2026-05-16T11:27:28+00:00
17,0.04805606102619468,0.03278666565313883,0.0782466806733683,0.1290556368411376,0.10449237048189494,0.03305822542795863,0.011695400411575645,0.037676687872212046,34,2026-05-16T11:27:28+00:00
19,0.03363507729612529,0.036620901833409214,0.1065146299661413,0.028874542407456866,0.08096478320737654,0.006102747401437156,0.02529968050411523,0.038370499496255796,46,2026-05-16T11:27:28+00:00
21,0.01866607231116853,0.073350954888889,0.04084657511225926,0.007869734432234432,0.10922426569485248,0.0011337868480725624,0.13417593875098427,0.0432466058637348,12,2026-05-16T11:27:28+00:00
23,0.07213485320517607,0.025292634536332015,0.037939191134679855,0.003001200480192077,0.10966666755034735,0.0,0.013431848018314183,0.12441839083811664,7,2026-05-16T11:27:28+00:00
25,0.02151271657381484,0.014242579515025616,0.06703407295643946,0.011779845678749378,0.07906261609979348,0.0037523079407201475,0.08205322345909422,0.0022688255558550494,57,2026-05-16T11:27:28+00:00
27,0.062066376710679404,0.030322463849252523,0.033764333916760175,0.0963673996520359,0.06463331206248024,0.012435416486227216,0.011957154456276866,0.018620319437218206,34,2026-05-16T11:27:28+00:00
29,0.017769346303469064,0.018476705455351822,0.02203167108597262,0.015611384972316029,0.04927948199850194,0.01015402630612417,0.10881276953932838,0.06634962212099728,65,2026-05-16T11:27:28+00:00
31,0.029008925071979393,0.017647671030423587,0.019557313432561615,0.003929777197440242,0.05598463914953769,0.027595208607331705,0.10173096260370605,0.05355107575344569,16,2026-05-16T11:27:28+00:00
33,0.04759236532701613,0.01725633974080713,0.013277108533961276,0.011247075767526805,0.055815214897714356,0.018748452160481568,0.015337953196429919,0.0679939921784175,21,2026-05-16T11:27:28+00:00
35,0.005456765456765457,0.0,0.005712541426827142,0.004794036372983742,0.08946929391846031,0.0739057783595214,0.011723021246830771,0.004166885745833114,15,2026-05-16T11:27:28+00:00
37,0.007006221291935577,0.006058673469387755,0.009844322344322344,0.013829837490551776,0.07506846802266057,0.08980890572505479,0.017652835113152573,0.003535381543921917,8,2026-05-16T11:27:28+00:00
39,0.008854962659764518,0.011900594176029141,0.012754097444991345,0.010559055567409785,0.04077276124150556,0.029963077479139583,0.029929925638601515,0.016656545145339596,27,2026-05-16T11:27:28+00:00
41,0.032078275786890806,0.016213548244630414,0.024416084323807284,0.007445120905505059,0.06260208783966642,0.014833163768045615,0.009900957273283396,0.00511843224131758,20,2026-05-16T11:27:28+00:00
43,0.06821982134560871,0.02602592219978331,0.02324368001421397,0.01390082886452027,0.07168452386658938,0.015975879061753108,0.010193477673384337,0.01955372581027753,50,2026-05-16T11:27:28+00:00
45,0.009838646202282565,0.0038762786541323797,0.011917645846217274,0.006887052341597796,0.06688281373155323,0.05754834919323681,0.003565310582854442,0.0245368192223968,11,2026-05-16T11:27:28+00:00
47,0.0024842446969192402,0.006562646066207971,0.0031354330279396788,0.012495946286769455,0.022771194648591647,0.08782485490341516,0.002140145628330376,0.011573037564383512,56,2026-05-16T11:27:28+00:00
49,0.011642090710559756,0.010644192787643314,0.011473185800886847,0.017150585002833733,0.025175815329234057,0.15100775640861788,0.0026205119014581424,0.022360099842104134,50,2026-05-16T11:27:28+00:00
51,0.005641628823706442,0.008562895471026642,0.011647352779322799,0.020639096620485225,0.03498134025060193,0.0630095090845463,0.0026924209911038124,0.007549931901974578,98,2026-05-16T11:27:28+00:00
53,0.01769411482269749,0.000932685327095265,0.005015884386782664,0.00473607536103208,0.043729623109289635,0.0853167919484429,0.00479601242161841,0.01347666375663168,44,2026-05-16T11:27:28+00:00
