vendor,flagship_family,portfolio_families,family_count,evidence_count,performance_component,release_velocity_component,ecosystem_component,capability_surface_component,cost_efficiency_component,openness_component,vendor_frontier_portfolio_score,rank,analysis_captured_at
OpenAI,GPT,GPT,1,1083.0,69.25,100.0,87.17,73.89,91.7,41.44,78.25,1,2026-05-16T17:13:09+00:00
Alibaba,Qwen,Qwen,1,12932.0,74.61,86.79,80.93,53.14,94.62,97.92,78.05,2,2026-05-16T17:13:09+00:00
Mistral,Mistral,Mistral,1,2394.0,45.79,35.78,70.61,26.12,100.0,95.11,54.97,3,2026-05-16T17:13:09+00:00
Anthropic,Claude,Claude,1,424.0,69.98,35.84,57.79,49.84,36.12,55.0,54.1,4,2026-05-16T17:13:09+00:00
Meta,Llama,Llama,1,8569.0,36.75,2.81,81.34,56.92,100.0,91.61,53.68,5,2026-05-16T17:13:09+00:00
DeepSeek,DeepSeek,DeepSeek,1,1187.0,33.76,32.96,78.0,46.1,85.89,92.27,53.67,6,2026-05-16T17:13:09+00:00
Google,Gemini,"Gemini,Gemma",2,2307.0,56.53,37.19,44.67,38.52,85.62,28.22,49.29,7,2026-05-16T17:13:09+00:00
Microsoft,Phi,Phi,1,1372.0,22.7,0.0,48.87,13.03,91.7,83.18,34.3,8,2026-05-16T17:13:09+00:00
xAI,Grok,Grok,1,55.0,37.59,23.48,27.39,48.16,0.0,1.84,28.4,9,2026-05-16T17:13:09+00:00
Command,Command,Command,1,3.0,0.0,0.0,0.0,0.0,0.0,36.67,2.93,10,2026-05-16T17:13:09+00:00
