vendor,flagship_family,component,flagship_component_value,evidence_weighted_portfolio_mean,vendor_component_value,baseline_weight,analysis_captured_at
Alibaba,Qwen,performance_component,74.61,74.61,74.61,0.31,2026-05-16T12:05:27+00:00
Alibaba,Qwen,release_velocity_component,87.04,87.04,87.04,0.16,2026-05-16T12:05:27+00:00
Alibaba,Qwen,ecosystem_component,80.93,80.93,80.93,0.17,2026-05-16T12:05:27+00:00
Alibaba,Qwen,capability_surface_component,59.41,59.41,59.41,0.17,2026-05-16T12:05:27+00:00
Alibaba,Qwen,cost_efficiency_component,94.62,94.62,94.62,0.11,2026-05-16T12:05:27+00:00
Alibaba,Qwen,openness_component,97.92,97.92,97.92,0.08,2026-05-16T12:05:27+00:00
Anthropic,Claude,performance_component,69.98,69.98,69.98,0.31,2026-05-16T12:05:27+00:00
Anthropic,Claude,release_velocity_component,37.04,37.04,37.04,0.16,2026-05-16T12:05:27+00:00
Anthropic,Claude,ecosystem_component,57.79,57.79,57.79,0.17,2026-05-16T12:05:27+00:00
Anthropic,Claude,capability_surface_component,55.6,55.6,55.6,0.17,2026-05-16T12:05:27+00:00
Anthropic,Claude,cost_efficiency_component,36.12,36.12,36.12,0.11,2026-05-16T12:05:27+00:00
Anthropic,Claude,openness_component,55.0,55.0,55.0,0.08,2026-05-16T12:05:27+00:00
Cohere,Command,performance_component,24.97,24.86,24.93,0.31,2026-05-16T12:05:27+00:00
Cohere,Command,release_velocity_component,0.0,0.0,0.0,0.16,2026-05-16T12:05:27+00:00
Cohere,Command,ecosystem_component,0.0,0.0,0.0,0.17,2026-05-16T12:05:27+00:00
Cohere,Command,capability_surface_component,5.41,5.38,5.4,0.17,2026-05-16T12:05:27+00:00
Cohere,Command,cost_efficiency_component,90.99,90.61,90.86,0.11,2026-05-16T12:05:27+00:00
Cohere,Command,openness_component,61.67,61.41,61.58,0.08,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,performance_component,33.76,33.76,33.76,0.31,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,release_velocity_component,34.35,34.35,34.35,0.16,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,ecosystem_component,78.0,78.0,78.0,0.17,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,capability_surface_component,52.68,52.68,52.68,0.17,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,cost_efficiency_component,85.89,85.89,85.89,0.11,2026-05-16T12:05:27+00:00
DeepSeek,DeepSeek,openness_component,92.27,92.27,92.27,0.08,2026-05-16T12:05:27+00:00
Google,Gemini,performance_component,64.56,41.61,56.53,0.31,2026-05-16T12:05:27+00:00
Google,Gemini,release_velocity_component,51.1,15.17,38.53,0.16,2026-05-16T12:05:27+00:00
Google,Gemini,ecosystem_component,35.36,61.96,44.67,0.17,2026-05-16T12:05:27+00:00
Google,Gemini,capability_surface_component,54.2,31.31,46.19,0.17,2026-05-16T12:05:27+00:00
Google,Gemini,cost_efficiency_component,80.97,94.27,85.62,0.11,2026-05-16T12:05:27+00:00
Google,Gemini,openness_component,0.0,80.64,28.22,0.08,2026-05-16T12:05:27+00:00
Meta,Llama,performance_component,36.75,36.75,36.75,0.31,2026-05-16T12:05:27+00:00
Meta,Llama,release_velocity_component,4.65,4.65,4.65,0.16,2026-05-16T12:05:27+00:00
Meta,Llama,ecosystem_component,81.34,81.34,81.34,0.17,2026-05-16T12:05:27+00:00
Meta,Llama,capability_surface_component,63.51,63.51,63.51,0.17,2026-05-16T12:05:27+00:00
Meta,Llama,cost_efficiency_component,100.0,100.0,100.0,0.11,2026-05-16T12:05:27+00:00
Meta,Llama,openness_component,91.61,91.61,91.61,0.08,2026-05-16T12:05:27+00:00
Microsoft,Phi,performance_component,22.7,22.7,22.7,0.31,2026-05-16T12:05:27+00:00
Microsoft,Phi,release_velocity_component,1.83,1.83,1.83,0.16,2026-05-16T12:05:27+00:00
Microsoft,Phi,ecosystem_component,48.87,48.87,48.87,0.17,2026-05-16T12:05:27+00:00
Microsoft,Phi,capability_surface_component,24.77,24.77,24.77,0.17,2026-05-16T12:05:27+00:00
Microsoft,Phi,cost_efficiency_component,91.7,91.7,91.7,0.11,2026-05-16T12:05:27+00:00
Microsoft,Phi,openness_component,83.18,83.18,83.18,0.08,2026-05-16T12:05:27+00:00
Mistral,Mistral,performance_component,45.79,45.79,45.79,0.31,2026-05-16T12:05:27+00:00
Mistral,Mistral,release_velocity_component,37.17,37.17,37.17,0.16,2026-05-16T12:05:27+00:00
Mistral,Mistral,ecosystem_component,70.61,70.61,70.61,0.17,2026-05-16T12:05:27+00:00
Mistral,Mistral,capability_surface_component,34.98,34.98,34.98,0.17,2026-05-16T12:05:27+00:00
Mistral,Mistral,cost_efficiency_component,100.0,100.0,100.0,0.11,2026-05-16T12:05:27+00:00
Mistral,Mistral,openness_component,95.11,95.11,95.11,0.08,2026-05-16T12:05:27+00:00
OpenAI,GPT,performance_component,69.25,69.25,69.25,0.31,2026-05-16T12:05:27+00:00
OpenAI,GPT,release_velocity_component,100.0,100.0,100.0,0.16,2026-05-16T12:05:27+00:00
OpenAI,GPT,ecosystem_component,87.17,87.17,87.17,0.17,2026-05-16T12:05:27+00:00
OpenAI,GPT,capability_surface_component,75.58,75.58,75.58,0.17,2026-05-16T12:05:27+00:00
OpenAI,GPT,cost_efficiency_component,91.7,91.7,91.7,0.11,2026-05-16T12:05:27+00:00
OpenAI,GPT,openness_component,41.44,41.44,41.44,0.08,2026-05-16T12:05:27+00:00
xAI,Grok,performance_component,37.59,37.59,37.59,0.31,2026-05-16T12:05:27+00:00
xAI,Grok,release_velocity_component,25.19,25.19,25.19,0.16,2026-05-16T12:05:27+00:00
xAI,Grok,ecosystem_component,27.39,27.39,27.39,0.17,2026-05-16T12:05:27+00:00
xAI,Grok,capability_surface_component,48.16,48.16,48.16,0.17,2026-05-16T12:05:27+00:00
xAI,Grok,cost_efficiency_component,0.0,0.0,0.0,0.11,2026-05-16T12:05:27+00:00
xAI,Grok,openness_component,1.84,1.84,1.84,0.08,2026-05-16T12:05:27+00:00
